time,open,high,low,close,volume
2021-01-28 20:00:00,3241.5,3241.5,3241.5,3241.5,285
2021-01-28 19:45:00,3242.25,3242.25,3240.0,3240.0,2308
2021-01-28 19:30:00,3242.33,3243.0,3242.25,3242.25,1499
2021-01-28 19:15:00,3238.0,3238.0,3238.0,3238.0,198
2021-01-28 19:00:00,3240.0,3240.0,3236.88,3236.88,2335
2021-01-28 18:45:00,3245.0,3246.0,3242.26,3246.0,707
2021-01-28 18:30:00,3241.65,3247.74,3241.65,3247.74,1449
2021-01-28 18:15:00,3243.0,3243.0,3237.0,3237.0,4180
2021-01-28 17:45:00,3247.0,3247.0,3247.0,3247.0,134
2021-01-28 17:30:00,3245.85,3245.85,3245.85,3245.85,251
2021-01-28 17:15:00,3245.0,3245.0,3244.11,3244.11,345
2021-01-28 17:00:00,3242.32,3244.0,3242.0,3244.0,1792
2021-01-28 16:45:00,3239.0,3240.0,3233.8,3240.0,4739
2021-01-28 16:30:00,3236.01,3236.01,3236.0,3236.0,895
2021-01-28 16:15:00,3237.62,3240.48,3237.62,3237.62,67204
2021-01-28 16:00:00,3249.36,3252.1,3234.07,3239.7,271468
2021-01-28 15:45:00,3263.11,3267.06,3248.4,3249.06,135094
2021-01-28 15:30:00,3274.4,3275.565,3261.23,3263.14,76916
2021-01-28 15:15:00,3276.69,3277.8,3268.54,3273.46,62194
2021-01-28 15:00:00,3273.73,3279.0,3266.0201,3277.0,66210
2021-01-28 14:45:00,3284.75,3285.26,3271.83,3273.99,50453
2021-01-28 14:30:00,3283.0,3284.38,3275.75,3283.93,58638
2021-01-28 14:15:00,3292.0,3293.9633,3281.81,3281.88,53342
2021-01-28 14:00:00,3295.14,3297.225,3290.0,3291.22,40815
2021-01-28 13:45:00,3292.01,3298.0,3288.35,3294.62,59924
2021-01-28 13:30:00,3295.57,3297.9999,3289.1301,3292.0,83510
2021-01-28 13:15:00,3292.85,3301.68,3292.505,3296.11,125682
