time,open,high,low,close,volume
2021-01-27 20:00:00,232.6,232.75,232.01,232.5,20383
2021-01-27 19:45:00,231.95,232.64,231.7,232.6,21621
2021-01-27 19:30:00,232.02,232.5,231.65,231.8,11683
2021-01-27 19:15:00,231.79,232.86,231.7,232.02,18839
2021-01-27 19:00:00,231.45,232.27,231.36,231.8,15236
2021-01-27 18:45:00,231.71,231.97,231.25,231.64,16815
2021-01-27 18:30:00,231.7,231.98,231.25,231.65,18294
2021-01-27 18:15:00,232.48,233.0,231.68,231.68,18537
2021-01-27 18:00:00,232.26,232.68,232.0,232.5,15519
2021-01-27 17:45:00,232.55,232.9,232.0,232.01,42835
2021-01-27 17:30:00,233.62,233.75,233.0,233.0,322081
2021-01-27 17:15:00,233.0,233.9,232.9,233.88,30064
2021-01-27 17:00:00,233.25,233.44,233.0,233.13,33442
2021-01-27 16:45:00,232.3,233.3,231.5,232.9,52628
2021-01-27 16:30:00,231.2,232.9,231.2,232.5,255706
2021-01-27 16:15:00,232.9,234.0,230.0,231.2,859717
2021-01-27 16:00:00,232.12,233.68,231.53,233.09,4491882
2021-01-27 15:45:00,231.24,232.94,230.14,232.125,2188978
2021-01-27 15:30:00,232.26,232.38,230.74,231.28,1704987
2021-01-27 15:15:00,231.32,233.0,231.08,232.27,2066850
2021-01-27 15:00:00,232.48,232.72,231.02,231.29,2129117
2021-01-27 14:45:00,234.11,234.14,231.8,232.52,3007088
2021-01-27 14:30:00,235.42,235.5797,234.11,234.11,1219096
2021-01-27 14:15:00,234.08,235.65,234.01,235.44,1313744
2021-01-27 14:00:00,234.25,235.12,233.89,234.08900000000003,1124904
2021-01-27 13:45:00,235.97,236.2199,234.2143,234.2143,1034011
2021-01-27 13:30:00,235.61,236.14,235.0221,235.98,996157
2021-01-27 13:15:00,237.56,237.65,235.065,235.595,1097668
2021-01-27 13:00:00,237.47,237.89,236.92,237.55,866354
2021-01-27 12:45:00,236.91,237.57,235.88,237.47,1102216
2021-01-27 12:30:00,236.68,237.2,236.33,236.8905,1130239
2021-01-27 12:15:00,234.92,236.7,234.3,236.7,1648462
2021-01-27 12:00:00,234.77,235.3,234.622,234.93,1309043
2021-01-27 11:45:00,236.13,236.2599,234.69,234.775,2424132
2021-01-27 11:30:00,238.76,238.885,236.11,236.11,2904427
2021-01-27 11:15:00,238.6419,239.48,238.12,238.76,1966305
2021-01-27 11:00:00,238.7285,240.44,238.514,238.6481,2293031
2021-01-27 10:45:00,239.06,239.85,238.23,238.73,1987820
2021-01-27 10:30:00,240.03,240.18,237.9,239.09,3294074
2021-01-27 10:15:00,235.74,240.13,235.31,240.04,5774433
2021-01-27 10:00:00,232.995,235.95,230.74,235.78,4988630
2021-01-27 09:45:00,238.0,239.24,232.63,232.989,7524439
2021-01-27 09:30:00,237.17,238.25,237.0,238.11,232664
2021-01-27 09:15:00,237.82,237.88,236.15,237.15,131957
2021-01-27 09:00:00,236.35,238.1,236.35,237.85,212240
2021-01-27 08:45:00,236.12,236.5,236.07,236.35,135353
2021-01-27 08:30:00,236.47,236.48,235.8,236.12,227526
2021-01-27 08:15:00,236.28,241.68,235.55,236.41,428180
2021-01-27 08:00:00,236.31,236.7,235.69,236.29,194629
2021-01-27 07:45:00,236.24,237.2,236.05,236.39,188053
2021-01-27 07:30:00,237.15,237.47,234.9,236.23,203864
2021-01-27 07:15:00,237.98,238.14,237.11,237.17,116938
2021-01-27 07:00:00,238.8,238.8,236.4,237.98,74974
2021-01-27 06:45:00,239.43,239.43,238.5,238.84,14657
2021-01-27 06:30:00,238.42,239.69,238.1,239.32,18502
2021-01-27 06:15:00,239.39,239.39,237.85,238.42,39161
2021-01-27 06:00:00,240.28,240.49,239.2,239.6,28120
2021-01-27 05:45:00,240.79,240.8,240.36,240.36,6393
2021-01-27 05:30:00,240.49,240.9,240.34,240.8,8181
2021-01-27 05:15:00,240.25,240.5,240.23,240.5,8227
2021-01-27 05:00:00,240.13,240.5,240.11,240.25,8261
2021-01-27 04:45:00,240.5,240.65,240.07,240.1,14447
2021-01-27 04:30:00,239.96,240.4,239.81,240.4,21791
2021-01-27 04:15:00,240.0,240.12,238.88,239.81,39172
2021-01-26 20:00:00,241.32,241.8,240.9,240.92,102143
2021-01-26 19:45:00,241.9,241.9999,241.23,241.4,51698
2021-01-26 19:30:00,242.02,242.12,241.5,241.98,27031
2021-01-26 19:15:00,242.09,242.18,241.73,241.9,32986
2021-01-26 19:00:00,241.84,242.1,241.38,241.91,33879
2021-01-26 18:45:00,243.27,243.39,241.7,241.7,63031
2021-01-26 18:30:00,244.13,244.75,243.0,243.47,127354
2021-01-26 18:15:00,240.2801,245.0,240.21,244.01,413935
2021-01-26 18:00:00,240.71,240.9,239.7,240.16,99707
2021-01-26 17:45:00,240.9,241.0,240.56,240.75,69696
2021-01-26 17:30:00,240.87,241.2,239.5,240.82,317125
2021-01-26 17:15:00,242.08,242.44,240.61,240.84,213296
2021-01-26 17:00:00,241.08,243.9,241.0,242.2,395575
2021-01-26 16:45:00,243.09,243.5,240.6,241.14,524411
2021-01-26 16:30:00,246.83,247.7,232.33,243.1,1531613
2021-01-26 16:15:00,232.33,247.15,231.8,246.83,4761488
2021-01-26 16:00:00,232.7411,233.14,231.77,232.5831,3743263
2021-01-26 15:45:00,233.65,233.65,232.35,232.745,1827156
2021-01-26 15:30:00,233.755,233.95,233.54,233.635,1211280
2021-01-26 15:15:00,233.51,233.82,233.03,233.76,1066805
2021-01-26 15:00:00,232.995,233.74,232.942,233.5086,1084929
2021-01-26 14:45:00,232.94,233.36,232.87,232.985,659116
2021-01-26 14:30:00,233.2966,233.43,232.53,232.935,928987
2021-01-26 14:15:00,233.17,233.65,232.77,233.2969,1148196
2021-01-26 14:00:00,233.23,233.69,232.92,233.1827,956826
2021-01-26 13:45:00,232.93,233.53,232.92,233.215,951170
2021-01-26 13:30:00,232.45,232.95,232.45,232.9314,635001
2021-01-26 13:15:00,232.04,232.56,231.715,232.4321,727238
2021-01-26 13:00:00,232.18,232.5838,231.9,232.0455,636686
2021-01-26 12:45:00,232.61,232.62,231.9701,232.1873,688286
2021-01-26 12:30:00,232.6882,232.88,232.44,232.61,636246
2021-01-26 12:15:00,231.4021,232.98,231.4021,232.69,1667731
2021-01-26 12:00:00,231.49,231.97,231.23,231.41,723369
2021-01-26 11:45:00,231.56,232.0,231.48,231.505,846192
2021-01-26 11:30:00,231.76,232.5679,231.45,231.5679,1191583
2021-01-26 11:15:00,233.665,233.86,231.75,231.75,1706477
2021-01-26 11:00:00,233.38,234.18,233.22,233.583,2050623
2021-01-26 10:45:00,233.09,233.5,232.39,233.3999,1555331
2021-01-26 10:30:00,231.74,233.36,231.465,233.095,2123322
2021-01-26 10:15:00,232.0,232.08,230.89,231.73,1599572
2021-01-26 10:00:00,230.5899,232.32,230.08,231.975,1818284
2021-01-26 09:45:00,231.86,232.99,230.51,230.585,3797614
2021-01-26 09:30:00,232.0,232.05,231.77,231.77,51842
2021-01-26 09:15:00,232.04,232.3,231.92,232.0,77843
2021-01-26 09:00:00,232.01,233.0,231.92,231.92,90588
2021-01-26 08:45:00,231.85,232.2,231.76,232.11,63824
2021-01-26 08:30:00,231.22,231.85,231.22,231.79,65783
2021-01-26 08:15:00,229.53,231.35,228.96,231.21,111698
2021-01-26 08:00:00,231.11,231.45,230.82,231.15,61301
2021-01-26 07:45:00,230.9,231.2,230.75,231.2,39414
2021-01-26 07:30:00,230.5,231.23,230.35,230.9,49692
2021-01-26 07:15:00,230.2,230.62,230.03,230.5,51776
2021-01-26 07:00:00,230.51,230.75,230.3,230.3,10493
2021-01-26 06:45:00,230.1,230.67,229.99,230.53,23306
2021-01-26 06:30:00,229.93,229.93,229.75,229.75,1946
2021-01-26 06:15:00,229.8,229.85,229.79,229.85,1265
2021-01-26 05:45:00,229.53,229.88,229.53,229.7,1687
2021-01-26 05:15:00,229.44,229.44,229.44,229.44,272
2021-01-26 05:00:00,229.2,229.2,229.2,229.2,1279
2021-01-26 04:45:00,229.3,229.3,229.0,229.1,1431
2021-01-26 04:30:00,229.2,229.49,229.2,229.49,764
2021-01-26 04:15:00,229.01,229.35,229.01,229.35,544
2021-01-25 20:00:00,229.71,229.87,229.65,229.75,7463
2021-01-25 19:45:00,229.8,229.88,229.71,229.8,3290
2021-01-25 19:30:00,229.85,229.9,229.7,229.79,6054
2021-01-25 19:15:00,229.75,229.9,229.75,229.78,6309
2021-01-25 19:00:00,229.89,229.93,229.75,229.75,2995
2021-01-25 18:45:00,229.85,229.97,229.85,229.87,2884
2021-01-25 18:30:00,229.81,229.88,229.62,229.81,2150
2021-01-25 18:15:00,229.49,229.93,229.39,229.83,11109
2021-01-25 18:00:00,229.59,229.63,229.5,229.5,28785
2021-01-25 17:45:00,229.6,229.6,229.55,229.6,4933
2021-01-25 17:30:00,229.6,230.0,229.5,229.5,7645
2021-01-25 17:15:00,229.74,229.75,229.62,229.62,3941
2021-01-25 17:00:00,229.72,229.74,229.47,229.7,118292
2021-01-25 16:45:00,229.7,229.84,229.61,229.65,52258
2021-01-25 16:30:00,229.61,230.0,229.55,229.7,39043
2021-01-25 16:15:00,229.53,229.87,229.48,229.72,1043881
2021-01-25 16:00:00,228.45,229.78,228.45,229.52,2436213
